Numero,Nimi,Valmistaja,Pullokoko,Hinta,Litrahinta,Uutuus,Hinnastojärjestyskoodi,Tyyppi,Alatyyppi,Erityisryhmä,Oluttyyppi,Valmistusmaa,Alue,Vuosikerta,Etikettimerkintöjä,Huomautus,Rypäleet,Luonnehdinta,Pakkaustyyppi,Suljentatyyppi,Alkoholi-%,"Hapot g/l","Sokeri g/l",Kantavierrep-%,"Väri EBC","Katkerot EBU","Energia kcal/100 ml",Valikoima,EAN
940736,"Marqués de Nombrevilla Mountain Garnacha 2023 hanapakkaus","Bodegas San Alejandro","3 l",39.90,13.3,,110,punaviinit,"Mehevä & Hilloinen",,,Espanja,Aragonia,2023,,,"Garnacha, ","Kirsikanpunainen, keskitäyteläinen, keskitanniininen, kirsikkainen, mustikkainen, vaniljainen",hanapakkaus,hana,13.5,5.1,3,,,,80.0,tilausvalikoima,8424703500483
407798,"Contramaestre Syrah Tempranillo Garnacha Organic 2021 hanapakkaus","Dominio de Punctum","3 l",31.78,10.59,,110,punaviinit,"Mehevä & Hilloinen",,,Espanja,"Kastilia-La Mancha",2021,"Vino de la Tierra de Castilla","Vegaaneille soveltuva tuote","Garnacha, Syrah, Tempranillo, ","Tummanpunainen, täyteläinen, tanniininen, tumman kirsikkainen, herukkainen, karhunvatukkainen, mausteinen",hanapakkaus,hana,13.5,4.8,4,,,,80.0,vakiovalikoima,8437020600804
429978,"Curiosity Tempranillo 2022 hanapakkaus",Altia,"3 l",30.99,10.33,,110,punaviinit,"Mehevä & Hilloinen",,,Espanja,"Kastilia-La Mancha",2022,"IGP Vino de la Tierra Castilla",,"Tempranillo, ","Sinipunainen, keskitäyteläinen, keskitanniininen, karhunvatukkainen, mustikkainen, kirsikkainen, kukkainen",hanapakkaus,hana,13.0,4.7,,,,,70.0,vakiovalikoima,6412700706900
458778,"Katse La Mirada Organic Tempranillo Syrah 2023 hanapakkaus",Norex,"3 l",32.98,10.99,,110,punaviinit,"Pehmeä & Hedelmäinen",,,Espanja,"Kastilia-La Mancha",2023,"Vino de la Tierra de Castilla","Saattaa sisältää sakkaa. Vegaaneille soveltuva tuote","Tempranillo, Syrah, ","Tummanpunainen, täyteläinen, keskitanniininen, karhunvatukkahilloinen, kirsikkainen, kevyen vadelmainen, tummasuklainen, mausteinen",hanapakkaus,hana,13.5,5.0,9,,,,80.0,vakiovalikoima,8423110751211
450468,"Katse Rosé 2023 hanapakkaus","Norex Selected Brands","3 l",33.99,11.33,,H10,hanapakkaukset,,,,Espanja,"Kastilia-La Mancha",2023,"Vino de la Tierra de Castilla","Vegaaneille soveltuva tuote","Bobal, Garnacha, Syrah, ","Ohuenpunainen, kuiva, hapokas, mansikkainen, sitruksinen, kevyen vadelmainen, mausteinen, hennon yrttinen",hanapakkaus,hana,12.0,5.0,9,,,,70.0,vakiovalikoima,8423110752249
957628,"Piqueras Sauvignon Verdejo 2023 hanapakkaus","Bodegas Piqueras","3 l",32.98,10.99,,130,valkoviinit,"Pirteä & Hedelmäinen",Luomu,,Espanja,"Kastilia-La Mancha",2023,"DO Almansa",,"Verdejo, Sauvignon Blanc, ","Vaaleanviherkeltainen, puolikuiva, keskihapokas, sitruksinen, persikkainen, kypsän päärynäinen, kevyen banaaninen, hennon kukkainen",hanapakkaus,hana,12.5,4.8,9,,,,70.0,vakiovalikoima,8414837061219
468438,"Piqueras Syrah Monastrell 2022 hanapakkaus","Bodegas Piqueras","3 l",33.89,11.3,,110,punaviinit,"Mehevä & Hilloinen",,,Espanja,"Kastilia-La Mancha",2022,"DO Almansa",,"Monastrell, Syrah, ","Runsaanpunainen, keskitäyteläinen, keskitanniininen, kirsikkahilloinen, mustikkainen, karhunvatukkainen, kevyen kaakaoinen, hennon mausteinen",hanapakkaus,hana,14.5,4.0,10,,,,80.0,vakiovalikoima,8414837061110
546418,"Quomo Organic 2022 hanapakkaus","Bodegas Fernando Castro","3 l",31.99,10.66,,130,valkoviinit,"Pirteä & Hedelmäinen",,,Espanja,"Kastilia-La Mancha",2022,"Vino de la Tierra de Castilla","Vegaaneille soveltuva tuote","Sauvignon Blanc, Verdejo, ","Vaaleankeltainen, puolikuiva, keskihapokas, persikkainen, hunajameloninen, litsiluumuinen, kukkainen",hanapakkaus,hana,11.5,6.2,20,,,,70.0,vakiovalikoima,8423110753031
902631,"Radio Boka Tempranillo hanapakkaus","Hammeken Cellars","3 l",34.90,11.63,uutuus,110,punaviinit,"Pehmeä & Hedelmäinen","Vegaaneille soveltuva tuote",,Espanja,"Kastilia-La Mancha",,"Vino de la Tierra de Castilla","Vegaaneille soveltuva tuote","Tempranillo, ","Punainen, keskitäyteläinen, keskitanniininen, vaniljainen, kirsikkainen, karhunvatukkahilloinen",hanapakkaus,hana,13.0,5.2,12,,,,80.0,tilausvalikoima,8436539761235
943764,"Susurro Organic Sauvignon Blanc Verdejo 2023 viinipussi","Parra Jimenez","2 l",25.98,12.99,,130,valkoviinit,"Pirteä & Hedelmäinen",,,Espanja,"Kastilia-La Mancha",2023,"Vino de la Tierra de Castilla","Vegaaneille soveltuva tuote","Sauvignon Blanc, Verdejo, ","Oljenkeltainen, kuiva, hapokas, herukanlehtinen, sitruksinen, viheromenainen",viinipussi,hana,11.5,5.0,1,,,,70.0,tilausvalikoima,8437008467399
458718,"Viña Albali Organic Tempranillo 2023 hanapakkaus","Félix Solís","3 l",31.29,10.43,,110,punaviinit,"Mehevä & Hilloinen",,,Espanja,"Kastilia-La Mancha",2023,"Vino de la Tierra de Castilla","Vegaaneille soveltuva tuote","Tempranillo, ","Punainen, keskitäyteläinen, keskitanniininen, kypsän herukkainen, hapankirsikkainen, hennon mokkainen",hanapakkaus,hana,13.0,4.8,4,,,,80.0,vakiovalikoima,8410702046633
904258,"Viña Albali Verdejo Organic 2022 hanapakkaus","Felix Solis","3 l",31.29,10.43,,130,valkoviinit,"Pirteä & Hedelmäinen",,,Espanja,"Kastilia-La Mancha",2022,"VDT Castilla","Vegaaneille soveltuva tuote","Verdejo, ","Vaaleanvihreä, kuiva, keskihapokas, päärynäinen, sitruksinen, viheromenainen, kevyen yrttinen",hanapakkaus,muovisuljin,12.5,5.3,,,,,70.0,vakiovalikoima,8410702046657
569068,"Marqués de Cáceres Verdejo 2023 hanapakkaus","Union Viti Vinicola","3 l",37.29,12.43,uutuus,130,valkoviinit,"Pirteä & Hedelmäinen","Vegaaneille soveltuva tuote",,Espanja,Kastilia-León,2023,"Vino De La Tierra De Castilla Y León","Vegaaneille soveltuva tuote","Verdejo, ","Vaaleanviherkeltainen, kuiva, hapokas, viherpäärynäinen, persikkainen, sitruksinen, herukanlehtinen, yrttinen",hanapakkaus,hana,13.0,5.5,1,,,,70.0,vakiovalikoima,8410406002638
501338,"Codorníu Albariño Organic 2022 hanapakkaus",Codorníu,"3 l",38.49,12.83,,130,valkoviinit,"Pirteä & Hedelmäinen",,,Espanja,Katalonia,2022,"DO Costers del Segre","Vegaaneille soveltuva tuote","Albariño, ","Viherkeltainen, kuiva, keskihapokas, sitruksinen, persikkainen, kypsän greippinen, kevyen herukkainen, hennon yrttinen",hanapakkaus,hana,12.0,5.7,2,,,,70.0,vakiovalikoima,8410013024580
415098,"Raimat Abadía Cabernet Sauvignon Tempranillo Organic 2021 hanapakkaus",Raimat,"3 l",37.99,12.66,,110,punaviinit,"Mehevä & Hilloinen",,,Espanja,Katalonia,2021,"DO Costers del Segre","Vegaaneille soveltuva tuote","Cabernet Sauvignon, Tempranillo, ","Runsaanpunainen, täyteläinen, tanniininen, kirsikkainen, boysenmarjainen, kevyen herukkainen, mausteinen, hennon mokkainen",hanapakkaus,hana,14.0,5.2,0,,,,80.0,vakiovalikoima,8410013995507
957988,"Sangre de Toro Organic 2022 hanapakkaus","Miguel Torres","3 l",36.99,12.33,,110,punaviinit,"Mehevä & Hilloinen",,,Espanja,Katalonia,2022,"DO Catalunya","Vegaaneille soveltuva tuote","Garnacha, Carignan, ","Punainen, keskitäyteläinen, keskitanniininen, kirsikkainen, kypsän karpaloinen, luumuinen, mausteinen, kevyen kaakaoinen",hanapakkaus,hana,13.5,4.9,0,,,,80.0,vakiovalikoima,8410113004895
575318,"Viña Esmeralda 2022 hanapakkaus","Miguel Torres","3 l",37.99,12.66,,130,valkoviinit,"Pirteä & Hedelmäinen","Vegaaneille soveltuva tuote",,Espanja,Katalonia,2022,"DO Catalunya","Vegaaneille soveltuva tuote","Gewürztraminer, Moscato, ","Vaaleankeltainen, puolikuiva, keskihapokas, sitruksinen, litsiluumuinen, persikkainen, kukkainen, hennon yrttinen",hanapakkaus,hana,11.5,4.8,7,,,,70.0,vakiovalikoima,8410113001870
912378,"Castano Ecologico Monastrell 2023 hanapakkaus","Bodegas Castano","3 l",33.49,11.16,,110,punaviinit,"Mehevä & Hilloinen",,,Espanja,Levante,2023,"DO Yecla","Saattaa sisältää sakkaa. Vegaaneille soveltuva tuote","Monastrell, ","Tummanpunainen, keskitäyteläinen, tanniininen, mustaherukkainen, mansikkainen, mustikkainen, mausteinen",hanapakkaus,hana,14.0,4.8,2,,,,80.0,vakiovalikoima,8422443002335
426918,"Castillo de Anna Appasanto Tempranillo hanapakkaus","Anecoop La Viña","3 l",29.99,10.0,,110,punaviinit,"Mehevä & Hilloinen",,,Espanja,Levante,,"DO Valencia",,"Tempranillo, Monastrell, ","Punainen, keskitäyteläinen, keskitanniininen, hapankirsikkainen, karpalohilloinen, kevyen mansikkainen, mausteinen",hanapakkaus,hana,13.5,5.3,8,,,,80.0,vakiovalikoima,8412276801991
926298,"Castillo de Gredos Tinto hanapakkaus","J. García Carrión","3 l",29.49,9.83,,110,punaviinit,"Mehevä & Hilloinen",,,Espanja,Levante,,,,"Tempranillo, ","Tummanpunainen, keskitäyteläinen, keskitanniininen, kirsikkainen, mausteinen, marjainen",hanapakkaus,hana,13.0,5.4,4,,,,80.0,tilausvalikoima,8410415015025
